,word,freq,embed_pca_x,embed_pca_y,embed_tsne_x,embed_tsne_y
566,M482,4,-0.6962484703962538,-0.17998091766079916,5.3176984786987305,-24.48174476623535
582,M142,2,0.16903038039565635,0.7648408537883371,-37.45230484008789,-8.675853729248047
583,M103,9,-0.37155124233919645,-1.2065224477665129,27.256444931030273,-21.5628662109375
590,M243,7,-1.6470419834814107,0.5199565349505351,-6.320035934448242,-34.62816619873047
607,M224,5,0.3398069432539084,-0.4621786250657332,22.169721603393555,8.86389446258545
614,M012,4,-0.7740279323684922,1.3121258283932737,-14.474284172058105,-32.58769226074219
619,M143,7,-0.6893523034154567,-0.29396113487608505,8.219815254211426,-18.651517868041992
624,M177,2,-0.19274283009341925,0.07698677169388922,-5.988820552825928,-5.1177544593811035
631,M120,1,0.4485737214274738,-0.33770591206342965,29.35875701904297,10.188547134399414
637,M272,1,0.542753345052365,-0.021889860215480953,18.313552856445312,17.122034072875977
640,M356,7,-0.34156084886080623,-1.0363400940150536,25.454435348510742,-8.31784439086914
643,M318,9,-0.14459328724800238,-1.0303193788608633,30.67398452758789,-0.9998896718025208
645,M213,2,0.6428907487486211,-0.016261019021450607,20.654006958007812,30.650070190429688
649,M362,33,-0.8466364169063925,-1.1852240572080381,9.982834815979004,-26.402931213378906
655,M062,3,-0.6823731831311114,0.4443534298253561,-6.39140510559082,-24.0490665435791
662,M011,4,0.18319453308890565,-0.1442518264069229,7.465961456298828,15.37618350982666
694,M447,1,-0.0007867929897956257,0.13911778006794856,-7.04416561126709,0.46852365136146545
703,M446,1,-0.03380484476105686,1.0037423722385257,-30.17495346069336,-10.529767036437988
707,M277,6,-1.611892032982047,1.0049709369752888,-8.657840728759766,-35.833396911621094
710,M265,10,-1.8471487415992356,0.10863682858738428,-2.717606782913208,-37.461463928222656
711,M359,6,-0.5851621593249369,-0.8289015759071222,10.831317901611328,-20.66023826599121
721,M058,9,0.2078333395176217,-0.7547247308831665,32.08457565307617,6.947778224945068
729,M017,2,0.5768005495950788,-0.07681232488725628,20.565824508666992,30.48103904724121
731,M135,3,-0.4745214468647246,1.0488982268968614,-14.87989330291748,-30.860240936279297
739,M312,9,-1.0315973344833507,-0.6974908650604752,13.00149917602539,-26.39275550842285
748,M003,12,-1.8702470292065845,0.029039395125061682,-2.136201858520508,-35.13591003417969
758,M242,4,0.15231668873955898,-0.5029717983136467,31.017269134521484,10.923723220825195
766,M172,1,0.11230621970851308,0.5399461630090586,-32.72671890258789,-0.4094417691230774
772,M253,1,0.7256454734416058,0.12896136939516956,0.6223462820053101,24.478652954101562
774,M252,3,-0.21918498648071658,-0.49562775804594034,15.312195777893066,-7.3308515548706055
777,M111,6,-0.3867028636710223,-1.1694886759222556,27.889249801635742,-20.258134841918945
778,M379,10,-0.8105407640175064,-1.0542592151568053,8.968774795532227,-26.99223518371582
779,M401,1,-0.14151233110508643,0.19618533582600697,-12.296655654907227,-12.170246124267578
785,M357,4,0.017688398359941935,-0.5400365761035503,16.955869674682617,-5.068940162658691
786,M089,3,0.429826377106174,-0.10508191405535787,6.8304972648620605,25.238061904907227
796,M452,1,0.24915020123628576,0.4508538340330731,-18.640338897705078,5.30441427230835
797,M044,12,-1.307061237895597,-1.4260488233891389,18.323726654052734,-29.212507247924805
806,M358,1,0.11683381700787152,0.8691074957998335,-33.75975036621094,9.812506675720215
809,M105,6,-1.274745133087443,0.171203457415704,-1.1997497081756592,-33.22087097167969
833,M098,4,-0.2627672681721419,-0.21690356304609135,-1.697429895401001,-17.354543685913086
849,M015,2,0.13298458551627962,0.20276072616976593,1.3799822330474854,12.790297508239746
853,M126,6,0.3070591885985254,-0.3460058230043764,19.483312606811523,6.6259260177612305
854,M421,1,-0.02900506436052277,0.7539538123912475,-32.49447250366211,-6.221939563751221
860,M289,1,0.3373325176419175,0.3687558119339187,-16.200597763061523,24.30896759033203
862,M115,1,0.3819042847259682,0.06972560783875668,-5.895980358123779,12.949392318725586
874,M180,7,-0.6693059879131896,-0.9992205627883951,12.77653694152832,-25.3632869720459
877,M424,1,0.45647999191182365,-0.0343156822126182,-17.362377166748047,13.02851676940918
884,M056,11,-1.5933080890634825,-0.5240036693057164,10.631291389465332,-32.06663131713867
886,M255,2,0.05675907415734374,-0.3032800457690444,16.491954803466797,-5.455625534057617
889,M215,1,-0.14390856516171918,0.21211569832400773,-10.714676856994629,-11.455449104309082
917,M034,1,0.6136596943135063,0.15387762222637452,-1.343393325805664,27.467077255249023
933,M382,2,-0.2216021610180171,-0.2499637177027237,7.918909072875977,-12.207502365112305
937,M197,1,0.4092191154386724,-0.09732365624739106,12.947669982910156,22.53823471069336
941,M411,1,0.0921796892583556,0.3431036865213385,-1.7090020179748535,0.9431086182594299
959,M444,1,-0.12505048830978932,0.6941488658136965,-21.06260108947754,-13.10169792175293
962,M479,2,-0.11783738093088555,-0.0241058263855412,8.477804183959961,-7.1877121925354
986,M270,1,0.2529916328186626,0.16794429689480425,3.290250539779663,8.285598754882812
987,M349,2,-0.25240228089676564,0.06598136168586793,0.7516298890113831,-7.468948841094971
988,M150,1,0.42339833142519584,0.209165460686052,-6.248186111450195,14.761763572692871
1017,M249,1,0.5153094817420063,0.1452276443637071,1.778931975364685,20.910432815551758
1020,M298,7,-0.7280024508219087,-0.5325527847529242,11.370855331420898,-20.840003967285156
1022,M134,3,-0.47717141902351917,0.7462731106966798,-17.342594146728516,-27.75432586669922
1029,M228,3,-0.310295056339252,0.16728098491729568,-12.245342254638672,-14.560462951660156
1032,M248,5,0.01912356112557593,-0.7059045762603369,30.744638442993164,-0.8654851317405701
1038,M282,2,0.5157085874093761,-0.14733115035073222,19.19313621520996,28.156538009643555
1049,M117,1,0.4463050530324953,0.009343169684953754,11.161561012268066,12.128739356994629
1051,M290,2,0.08359257629970991,-0.18685329242484697,9.660435676574707,-2.472095012664795
1072,M490,1,0.7781730241066164,-0.1479213701877742,20.759654998779297,22.94444465637207
1074,M158,6,-0.6793283668987897,-0.7282462232855371,8.092308044433594,-20.51943588256836
1088,M321,6,-1.1116887008320715,0.8994740554700821,-9.46495532989502,-33.66197967529297
1090,M342,6,0.05697334075497098,-0.836928917319312,23.287891387939453,-0.8389127254486084
1106,M018,1,0.08324492725749051,0.36093131370095005,-24.72757911682129,-10.457347869873047
1121,M114,1,0.15543129671728484,-0.09578418344506444,-3.2957143783569336,4.1210174560546875
1122,M085,1,0.5538617337872662,0.20223032204245642,-2.8224101066589355,32.25162124633789
1146,M449,4,-0.05316256515142704,-1.367263218895924,23.025989532470703,-3.514556407928467
1154,M093,1,0.40412255932850943,0.000548557138774211,9.088105201721191,14.368176460266113
1156,M025,3,0.1932066763391451,-0.3341161723360306,32.81694412231445,4.052071571350098
1159,M063,1,0.21471559114785246,0.2892956460420748,-20.98866844177246,7.37056303024292
1162,M152,3,0.33291680844994426,-0.30905105724072157,23.575159072875977,10.050810813903809
1165,M039,2,0.5057681220359561,-0.3790822481068777,21.02327537536621,7.62984561920166
1183,M227,1,0.4331002778441148,0.005031642668577861,25.239646911621094,18.439220428466797
1185,M016,6,-0.1997316512082393,-0.19766798377129988,6.050563335418701,-5.996072769165039
1189,M468,1,0.3662119327708317,-0.041345075373234036,-8.992535591125488,12.412721633911133
1193,M343,1,0.29154926285897986,-0.029308968449481897,24.886951446533203,16.359310150146484
1195,M159,2,-0.15267165641737904,0.243568712178094,-9.19540786743164,-2.2357068061828613
1204,M176,6,-2.393377312810034,-0.49278105891326773,8.588178634643555,-35.93242263793945
1205,M084,1,0.3927814388118355,-0.10682005393141464,12.173944473266602,11.160334587097168
1218,M378,1,0.1773909159324573,0.5095834260016664,-28.765169143676758,3.6296586990356445
1230,M402,1,0.45150034104151393,-0.11753149245880667,11.205371856689453,18.309595108032227
1273,M438,2,0.2221017069221779,-0.24263847344330966,-25.814769744873047,17.086219787597656
1278,M433,1,0.3695517141120121,-0.1902346914233225,17.631240844726562,15.195355415344238
1279,M492,2,-0.031304677729703086,-0.21731065637709934,10.649731636047363,-1.4049839973449707
1288,M278,5,-0.9905503057475166,1.1228239038628496,-11.1160306930542,-31.250612258911133
1309,M043,2,0.22451101465075288,0.21346304422489198,-22.764917373657227,6.0790934562683105
1317,M029,2,-0.06713584146260289,1.291590349689726,-37.00373458862305,-14.893969535827637
